Overall time BD (ms)	Overall time SO (ms)	Time first output SO (ms)	number of tuples	Exceptions
N/A	603.503	N/A	3293	none
N/A	17.591	N/A	1	none
N/A	103.215	N/A	1	none
N/A	21.221	N/A	18	none
N/A	96.949	N/A	1	none
N/A	901.377	N/A	25	none
N/A	391.018	N/A	6	none
N/A	32.346.606	N/A	10000	none
N/A	25.699	N/A	10	none
N/A	966.193	N/A	3474	none
N/A	266.293	N/A	1553	none
N/A	95.909	N/A	1	none
N/A	1.241.662	N/A	64	none
N/A	1.058.352	N/A	28	none
N/A	36.061.374	N/A	10000	none
N/A	191.642	N/A	413	none
N/A	2.176.014	N/A	6672	none
N/A	30.595.279	N/A	10000	none
N/A	1.062.961	N/A	2913	none
N/A	775.436	N/A	54	none
N/A	740.365	N/A	72	none
N/A	953.664	N/A	4	none
N/A	22.119	N/A	87	none
N/A	737.182	N/A	18	none
N/A	1.836.007	N/A	10000	none
N/A	487.356	N/A	6316	none
N/A	20.576	N/A	3	none
N/A	2.083	N/A	3	none
N/A	350.353	N/A	1624	none
N/A	585.403	N/A	1241	none
N/A	12.179	N/A	3	none
N/A	189.468	N/A	1827	none
N/A	101.478	N/A	1	none
N/A	760.969	N/A	200	none
N/A	774.594	N/A	55	none
N/A	53.637	N/A	18	none
N/A	79.567	N/A	23	none
N/A	113.237	N/A	71	none
N/A	751.969	N/A	371	none
N/A	813.328	N/A	1868	none
N/A	252.674	N/A	6450	none
N/A	54.117	N/A	2	none
N/A	188.021	N/A	10000	none
N/A	30.775	N/A	340	none
N/A	65.577	N/A	1	none
N/A	1.343.005	N/A	10000	none
N/A	17.463	N/A	21	none
N/A	788.087	N/A	1235	none
N/A	94.788	N/A	1	none
N/A	3.717.165	N/A	10000	none
N/A	1.251.536	N/A	10000	none
N/A	86.769	N/A	236	none
N/A	18.235	N/A	7	none
N/A	97.839	N/A	1	none
N/A	780.273	N/A	23	none
N/A	27.402	N/A	1	none
N/A	13.764	N/A	17	none
N/A	9.162	N/A	1	none
N/A	826.982	N/A	1090	none
N/A	1.321.865	N/A	10000	none
N/A	1.864.536	N/A	10000	none
N/A	1.295.019	N/A	410	none
N/A	913.857	N/A	846	none
N/A	122.959	N/A	10000	none
N/A	2.445.391	N/A	10000	none
N/A	1.201.379	N/A	6157	none
N/A	106.967	N/A	1	none
N/A	51.635	N/A	2	none
N/A	34.58	N/A	3	none
N/A	1.741.301	N/A	10000	none
N/A	113.976	N/A	1	none
N/A	84.386	N/A	1	none
N/A	322.705	N/A	5	none
N/A	96.412	N/A	154	none
N/A	779.926	N/A	32	none
N/A	66.859	N/A	4	none
N/A	25.515	N/A	40	none
N/A	186.96	N/A	10000	none
N/A	1.505.643	N/A	1730	none
N/A	15.118	N/A	18	none
N/A	1.229.401	N/A	211	none
N/A	21.671	N/A	24	none
N/A	31.056.483	N/A	10000	none
N/A	1.027.974	N/A	3892	none
N/A	1.223.007	N/A	10000	none
N/A	324.015	N/A	7	none
N/A	143.396	N/A	5504	none
N/A	109.078	N/A	1	none
N/A	378.513	N/A	386	none
N/A	249.915	N/A	6450	none
N/A	2.436.507	N/A	10000	none
N/A	135.3	N/A	10000	none
N/A	712.574	N/A	4293	none
N/A	17.497	N/A	9	none
N/A	7.258	N/A	4	none
N/A	143.598	N/A	7626	none
N/A	1.035.848	N/A	3892	none
N/A	1.328.524	N/A	10000	none
N/A	1.324.417	N/A	629	none
N/A	6.504	N/A	32	none
N/A	1.317.985	N/A	548	none
N/A	1.225.015	N/A	10000	none
N/A	860.519	N/A	11	none
N/A	1.543.138	N/A	2175	none
N/A	1.855.958	N/A	10000	none
N/A	10.099	N/A	4	none
N/A	108.202	N/A	1	none
N/A	1.854.436	N/A	10000	none
N/A	263.539	N/A	6450	none
N/A	1.867.241	N/A	10000	none
N/A	146.161	N/A	2	none
N/A	753.991	N/A	167	none
N/A	750.882	N/A	12	none
N/A	40.945	N/A	2	none
N/A	1.346.236	N/A	2175	none
N/A	0.9547	N/A	2	none
N/A	85.674	N/A	30	none
N/A	751.503	N/A	2413	none
N/A	909.428	N/A	2	none
N/A	1.321.455	N/A	10000	none
N/A	326.004	N/A	1659	none
N/A	89.522	N/A	4	none
N/A	1.869.418	N/A	10000	none
N/A	31.852.413	N/A	10000	none
N/A	281.031	N/A	6450	none
N/A	25.645	N/A	6450	none
N/A	42.465	N/A	62	none
N/A	966.422	N/A	23	none
N/A	124.659	N/A	10000	none
N/A	736.865	N/A	99	none
N/A	26.243	N/A	1553	none
N/A	1.855.526	N/A	10000	none
N/A	315.064	N/A	6450	none
N/A	17.357	N/A	5	none
N/A	28.058	N/A	19	none
N/A	368.394	N/A	611	none
N/A	76.378	N/A	49	none
N/A	882.887	N/A	10	none
N/A	111.782	N/A	1	none
N/A	1.294.555	N/A	181	none
N/A	71.519	N/A	2	none
N/A	69.735	N/A	6	none
N/A	132.655	N/A	32	none
N/A	107.086	N/A	1	none
N/A	1.260.687	N/A	10000	none
N/A	1.827.767	N/A	10000	none
N/A	88.348	N/A	362	none
N/A	286.817	N/A	53	none
N/A	12.519	N/A	8	none
N/A	1.250.638	N/A	10000	none
N/A	102.309	N/A	1	none
N/A	709.736	N/A	4293	none
N/A	264.105	N/A	6450	none
N/A	733.408	N/A	10	none
N/A	20.209	N/A	8	none
N/A	875.839	N/A	147	none
N/A	1.260.648	N/A	10000	none
N/A	984.645	N/A	3892	none
N/A	77.903	N/A	1235	none
N/A	760.335	N/A	34	none
N/A	689.457	N/A	386	none
N/A	2.439.473	N/A	10000	none
N/A	54.608	N/A	2	none
N/A	376.899	N/A	6	none
N/A	181.734	N/A	10000	none
N/A	157.519	N/A	10000	none
N/A	766.512	N/A	11	none
N/A	354.345	N/A	1659	none
N/A	41.766	N/A	2	none
N/A	1.236.574	N/A	10000	none
N/A	858.222	N/A	69	none
N/A	1.528.961	N/A	2175	none
N/A	1.329.439	N/A	10000	none
N/A	399.121	N/A	3153	none
N/A	275.148	N/A	6450	none
N/A	34.946.587	N/A	10000	none
N/A	12.083	N/A	1	none
N/A	812.057	N/A	1235	none
N/A	900.638	N/A	147	none
N/A	1.263.383	N/A	10000	none
N/A	768.494	N/A	23	none
N/A	0.9051	N/A	4	none
N/A	79.004	N/A	27	none
N/A	254.639	N/A	6450	none
N/A	248.387	N/A	779	none
N/A	25.169	N/A	2	none
N/A	60.823	N/A	7	none
N/A	247.747	N/A	6450	none
N/A	990.617	N/A	3892	none
N/A	432.129	N/A	886	none
N/A	74.302	N/A	2413	none
N/A	752.873	N/A	20	none
N/A	570.812	N/A	1	none
N/A	92.807	N/A	1	none
N/A	1.847.036	N/A	10000	none
N/A	432.808	N/A	886	none
N/A	919.822	N/A	19	none
N/A	50.032	N/A	4	none
N/A	21.707	N/A	1417	none
N/A	362.193	N/A	365	none
N/A	27.503	N/A	27	none
N/A	72.418	N/A	2	none
N/A	72.108	N/A	19	none
N/A	32.302.497	N/A	10000	none
N/A	1.855.037	N/A	10000	none
N/A	15.277	N/A	1	none
N/A	1.573.716	N/A	10000	none
N/A	601.539	N/A	6536	none
N/A	20.751	N/A	26	none
N/A	784.338	N/A	49	none
N/A	901.122	N/A	36	none
N/A	1.253.883	N/A	10000	none
N/A	78.431	N/A	92	none
N/A	1.270.307	N/A	10000	none
N/A	1.863	N/A	4	none
N/A	922.587	N/A	6	none
N/A	126.215	N/A	289	none
N/A	1.305.126	N/A	1978	none
N/A	21.692	N/A	66	none
N/A	100.159	N/A	1	none
N/A	17.506	N/A	5	none
N/A	333.935	N/A	53	none
N/A	2.113.377	N/A	6672	none
N/A	735.475	N/A	4908	none
N/A	81.503	N/A	6	none
N/A	67.067	N/A	3	none
N/A	729.014	N/A	13	none
N/A	1.867.137	N/A	10000	none
N/A	1.252.936	N/A	10000	none
N/A	756.213	N/A	15	none
N/A	232.859	N/A	43	none
N/A	80.06	N/A	26	none
N/A	18.179	N/A	1	none
N/A	103.934	N/A	1	none
N/A	2.447.424	N/A	10000	none
N/A	182.406	N/A	10000	none
N/A	688.023	N/A	73	none
N/A	27.299	N/A	7	none
N/A	36.684	N/A	2	none
N/A	99.902	N/A	1	none
N/A	1.253.387	N/A	10000	none
N/A	168.372	N/A	413	none
N/A	346.738	N/A	1	none
N/A	935.262	N/A	2796	none
N/A	1.234.172	N/A	10000	none
N/A	27.83	N/A	268	none
N/A	938.542	N/A	2796	none
N/A	2.287.763	N/A	8608	none
N/A	86.904	N/A	1	none
N/A	25.723	N/A	2180	none
N/A	2.448.289	N/A	10000	none
N/A	262.763	N/A	6450	none
N/A	1.320.867	N/A	10000	none
N/A	75.867	N/A	212	none
N/A	906.106	N/A	56	none
N/A	1.236.323	N/A	10000	none
N/A	784.419	N/A	1235	none
N/A	160.796	N/A	1044	none
N/A	913.002	N/A	27	none
N/A	1.236.723	N/A	10000	none
N/A	104.648	N/A	1	none
N/A	1.848.288	N/A	10000	none
N/A	38.441	N/A	135	none
N/A	108.015	N/A	608	none
N/A	731.259	N/A	196	none
N/A	2.708	N/A	1	none
N/A	1.250.791	N/A	10000	none
N/A	2.459.799	N/A	10000	none
N/A	1.862.799	N/A	10000	none
N/A	166.537	N/A	19	none
N/A	856.278	N/A	325	none
N/A	1.268.898	N/A	10000	none
N/A	411.148	N/A	3153	none
N/A	1.254.732	N/A	10000	none
N/A	1.229.986	N/A	10000	none
N/A	1.322.062	N/A	5833	none
N/A	17.106	N/A	4	none
N/A	1.224.465	N/A	10000	none
N/A	231.866	N/A	31	none
N/A	1.334.196	N/A	10000	none
N/A	1.237.518	N/A	10000	none
N/A	124.284	N/A	14	none
N/A	199.087	N/A	14	none
N/A	1.234.745	N/A	10000	none
N/A	760.091	N/A	8	none
N/A	107.257	N/A	615	none
N/A	131.105	N/A	7	none
N/A	833.955	N/A	3541	none
N/A	22.031	N/A	3	none
N/A	88.614	N/A	427	none
N/A	145.343	N/A	1	none
N/A	730.493	N/A	4779	none
N/A	712.028	N/A	174	none
N/A	812.191	N/A	1123	none
N/A	96.605	N/A	1	none
N/A	1.326.207	N/A	10000	none
N/A	22.088	N/A	54	none
N/A	2.975	N/A	113	none
N/A	1.352.367	N/A	5833	none
N/A	1.238.801	N/A	10000	none
N/A	65.983	N/A	287	none
N/A	1.221.121	N/A	10000	none
N/A	51.849	N/A	42	none
N/A	33.941	N/A	96	none
N/A	85.858	N/A	3	none
N/A	1.113.671	N/A	10000	none
N/A	777.163	N/A	12	none
N/A	8.761	N/A	2	none
N/A	729.486	N/A	121	none
N/A	969.406	N/A	174	none
N/A	723.173	N/A	7	none
N/A	1.322.654	N/A	10000	none
N/A	40.99	N/A	3153	none
N/A	40.202	N/A	1624	none
N/A	787.962	N/A	90	none
N/A	729.371	N/A	8794	none
N/A	166.058	N/A	801	none
N/A	130.481	N/A	35	none
N/A	1.235.548	N/A	10000	none
N/A	164.474	N/A	532	none
N/A	34.292	N/A	8	none
N/A	59.535	N/A	253	none
N/A	756.511	N/A	386	none
N/A	112.879	N/A	1	none
N/A	73.099	N/A	8794	none
N/A	35.935.037	N/A	10000	none
N/A	31.149.264	N/A	10000	none
N/A	18.795	N/A	3	none
N/A	87.827	N/A	6	none
N/A	1.829	N/A	1	none
N/A	45.673	N/A	150	none
N/A	34.067	N/A	6	none
N/A	187.766	N/A	311	none
N/A	77.135	N/A	7	none
N/A	167.511	N/A	23	none
N/A	77.883	N/A	324	none
N/A	768.375	N/A	303	none
N/A	587.271	N/A	1241	none
N/A	263.723	N/A	6450	none
N/A	111.784	N/A	486	none
N/A	17.917	N/A	3	none
N/A	927.249	N/A	169	none
N/A	1.058.529	N/A	6822	none
N/A	267.109	N/A	6450	none
N/A	51.868	N/A	209	none
N/A	27.404	N/A	2	none
N/A	149.235	N/A	126	none
N/A	24.915	N/A	3	none
N/A	1.226.657	N/A	10000	none
N/A	1.17	N/A	1	none
N/A	1.241.601	N/A	10000	none
N/A	754.688	N/A	38	none
N/A	737.966	N/A	112	none
N/A	1.075.784	N/A	173	none
N/A	93.504	N/A	2	none
N/A	254.806	N/A	6450	none
N/A	134.038	N/A	53	none
N/A	91.519	N/A	1	none
N/A	246.572	N/A	6450	none
N/A	126.977	N/A	9917	none
N/A	12.015	N/A	3	none
N/A	131.595	N/A	10000	none
N/A	188.217	N/A	10000	none
N/A	58.613	N/A	216	none
N/A	1.845.498	N/A	10000	none
N/A	16.923	N/A	479	none
N/A	133.926	N/A	173	none
N/A	196.118	N/A	1193	none
N/A	968.818	N/A	21	none
N/A	849.443	N/A	1868	none
N/A	233.573	N/A	1417	none
N/A	84.966	N/A	4	none
N/A	152.138	N/A	55	none
N/A	409.376	N/A	457	none
N/A	230.578	N/A	329	none
N/A	715.545	N/A	412	none
N/A	718.634	N/A	8794	none
N/A	95.271	N/A	1	none
N/A	15.613	N/A	7	none
N/A	1.210.084	N/A	10000	none
N/A	268.836	N/A	756	none
N/A	629.982	N/A	1548	none
N/A	633.137	N/A	3293	none
N/A	1.212.637	N/A	10000	none
N/A	1.204.615	N/A	10000	none
N/A	1.210.554	N/A	10000	none
N/A	1.827.945	N/A	10000	none
N/A	746.948	N/A	331	none
N/A	28.275	N/A	105	none
N/A	24.161	N/A	6	none
N/A	215.727	N/A	1417	none
N/A	772.061	N/A	2413	none
N/A	3.16	N/A	68	none
N/A	104.235	N/A	1	none
N/A	8.578	N/A	1	none
N/A	3.147	N/A	23	none
N/A	10.203	N/A	1	none
N/A	1.342.846	N/A	10000	none
N/A	2.465.077	N/A	10000	none
N/A	929.192	N/A	22	none
N/A	15.814	N/A	2	none
N/A	822.633	N/A	91	none
N/A	80.074	N/A	325	none
N/A	1.332.187	N/A	10000	none
N/A	237.186	N/A	1290	none
N/A	89.982	N/A	8	none
N/A	1.877.823	N/A	10000	none
N/A	966.129	N/A	174	none
N/A	928.462	N/A	17	none
N/A	838.487	N/A	1771	none
N/A	77.397	N/A	30	none
N/A	186.682	N/A	10000	none
N/A	16.663	N/A	4	none
N/A	14.305	N/A	4	none
N/A	712.367	N/A	3	none
N/A	707.512	N/A	64	none
N/A	953.413	N/A	31	none
N/A	93.809	N/A	1	none
N/A	747.013	N/A	30	none
N/A	710.373	N/A	23	none
N/A	188.954	N/A	271	none
N/A	13.565	N/A	8	none
N/A	1.861.676	N/A	10000	none
N/A	81.049	N/A	411	none
N/A	12.986	N/A	2	none
N/A	35.208.837	N/A	10000	none
N/A	29.518.664	N/A	10000	none
N/A	77.398	N/A	176	none
N/A	22.32	N/A	1417	none
N/A	35.465	N/A	25	none
N/A	38.513	N/A	1	none
N/A	1.333.278	N/A	10000	none
N/A	412.036	N/A	365	none
N/A	1.602.092	N/A	10000	none
N/A	2.174.266	N/A	17	none
N/A	1.882.617	N/A	10000	none
N/A	240.855	N/A	1518	none
N/A	53.473	N/A	2	none
N/A	12.934	N/A	43	none
N/A	1.842.161	N/A	10000	none
N/A	1.810.495	N/A	10000	none
N/A	9.051	N/A	1	none
N/A	220.399	N/A	199	none
N/A	1.210.712	N/A	10000	none
N/A	22.184	N/A	2	none
N/A	750.408	N/A	44	none
N/A	15.895	N/A	16	none
N/A	193.201	N/A	1058	none
N/A	30.658	N/A	115	none
N/A	77.674	N/A	111	none
N/A	976.742	N/A	18	none
N/A	59.805	N/A	1	none
N/A	12.334	N/A	2	none
N/A	11.096	N/A	1	none
N/A	11.635	N/A	6	none
N/A	11.067	N/A	1	none
N/A	10.898	N/A	2	none
N/A	0.9985	N/A	1	none
N/A	350.313	N/A	1	none
N/A	11.071	N/A	5	none
N/A	19.464	N/A	1	none
N/A	0.7817	N/A	3	none
N/A	106.515	N/A	1	none
N/A	14.569	N/A	1	none
N/A	22.428	N/A	1	none
N/A	15.471	N/A	4	none
N/A	13.343	N/A	2	none
N/A	3.527	N/A	1	none
N/A	297.148	N/A	1	none
N/A	1.166	N/A	12	none
N/A	11.097	N/A	3	none
N/A	0.7519	N/A	1	none
N/A	10.143	N/A	2	none
N/A	11.404	N/A	1	none
N/A	0.7948	N/A	1	none
N/A	88.498	N/A	1	none
N/A	10.536	N/A	1	none
N/A	25.381	N/A	1	none
N/A	0.7379	N/A	1	none
N/A	10.796	N/A	1	none
N/A	0.9488	N/A	1	none
N/A	10.075	N/A	1	none
N/A	11.238	N/A	21	none
N/A	10.946	N/A	2	none
N/A	10.072	N/A	1	none
N/A	14.327	N/A	3	none
N/A	1.029	N/A	1	none
N/A	12.957	N/A	8	none
N/A	21.638	N/A	1	none
N/A	0.9745	N/A	1	none
N/A	300.169	N/A	1	none
N/A	0.9899	N/A	2	none
N/A	94.749	N/A	1	none
N/A	0.7153	N/A	3	none
N/A	0.9853	N/A	1	none
N/A	316.306	N/A	1	none
N/A	32.937	N/A	1	none
N/A	17.835	N/A	2	none
N/A	0.6857	N/A	1	none
N/A	0.9794	N/A	1	none
N/A	0.9878	N/A	2	none
N/A	0.6916	N/A	1	none
N/A	10.105	N/A	2	none
N/A	298.876	N/A	1	none
N/A	79.546	N/A	1	none
N/A	0.9504	N/A	1	none
N/A	0.793	N/A	2	none
N/A	1.208	N/A	4	none
N/A	0.9792	N/A	3	none
N/A	0.685	N/A	1	none
N/A	0.9756	N/A	1	none
N/A	0.9967	N/A	1	none
N/A	0.7816	N/A	1	none
N/A	13.068	N/A	4	none
N/A	0.9842	N/A	1	none
N/A	0.6963	N/A	1	none
N/A	323.376	N/A	1	none
N/A	10.698	N/A	1	none
N/A	53.753	N/A	4	none
N/A	0.7257	N/A	5	none
N/A	89.058	N/A	1	none
N/A	0.971	N/A	3	none
N/A	10.402	N/A	2	none
N/A	0.9626	N/A	2	none
N/A	0.9314	N/A	1	none
N/A	0.9589	N/A	1	none
N/A	84.036	N/A	1	none
N/A	0.98	N/A	1	none
N/A	10.252	N/A	2	none
N/A	0.7039	N/A	5	none
N/A	14.554	N/A	4	none
N/A	0.9864	N/A	1	none
N/A	0.642	N/A	1	none
N/A	21.254	N/A	1	none
N/A	0.9881	N/A	2	none
N/A	306.135	N/A	1	none
N/A	83.342	N/A	1	none
N/A	19.691	N/A	1	none
N/A	0.6957	N/A	1	none
N/A	0.9792	N/A	1	none
N/A	320.815	N/A	1	none
N/A	89.261	N/A	1	none
N/A	6.984	N/A	1	none
N/A	0.7842	N/A	1	none
N/A	16.842	N/A	1	none
N/A	12.794	N/A	4	none
N/A	0.987	N/A	5	none
N/A	0.9051	N/A	4	none
N/A	10.414	N/A	4	none
N/A	17.692	N/A	2	none
N/A	0.7769	N/A	28	none
N/A	166.884	N/A	1	none
N/A	0.9194	N/A	1	none
N/A	0.7154	N/A	3	none
N/A	0.9791	N/A	4	none
N/A	12.038	N/A	7	none
N/A	0.6894	N/A	2	none
N/A	0.7289	N/A	4	none
N/A	0.9976	N/A	2	none
N/A	0.6975	N/A	5	none
N/A	0.699	N/A	1	none
N/A	9.828	N/A	2	none
N/A	0.8476	N/A	3	none
N/A	10.069	N/A	4	none
N/A	308.686	N/A	1	none
N/A	0.9953	N/A	1	none
N/A	0.9756	N/A	2	none
N/A	9.605	N/A	1	none
N/A	29.904	N/A	5	none
N/A	0.9498	N/A	2	none
N/A	88.875	N/A	1	none
N/A	13.308	N/A	1	none
N/A	0.9555	N/A	1	none
N/A	0.9595	N/A	4	none
N/A	24.024	N/A	1	none
N/A	0.9858	N/A	4	none
N/A	295.619	N/A	1	none
N/A	0.982	N/A	1	none
N/A	14.077	N/A	4	none
N/A	0.7608	N/A	18	none
N/A	0.9093	N/A	1	none
N/A	0.9813	N/A	1	none
N/A	0.7822	N/A	1	none
N/A	10.012	N/A	3	none
N/A	10.014	N/A	2	none
N/A	0.7118	N/A	2	none
N/A	36.858	N/A	1	none
N/A	12.725	N/A	1	none
N/A	0.9779	N/A	2	none
N/A	334.481	N/A	1	none
N/A	34.631	N/A	1	none
N/A	59.684	N/A	11	none
N/A	13.877	N/A	1	none
N/A	0.9878	N/A	2	none
N/A	0.969	N/A	4	none
N/A	0.7841	N/A	1	none
N/A	0.9616	N/A	2	none
N/A	20.093	N/A	1	none
N/A	318.935	N/A	1	none
N/A	0.983	N/A	5	none
N/A	0.9246	N/A	1	none
N/A	74.423	N/A	1	none
N/A	21.674	N/A	4	none
N/A	14.351	N/A	4	none
N/A	10.972	N/A	4	none
N/A	61.854	N/A	1	none
N/A	0.9572	N/A	6	none
N/A	0.7651	N/A	1	none
N/A	0.6991	N/A	1	none
N/A	1.436	N/A	1	none
N/A	0.7759	N/A	1	none
N/A	12.055	N/A	26	none
N/A	82.166	N/A	1	none
N/A	10.065	N/A	4	none
N/A	14.234	N/A	1	none
N/A	21.975	N/A	1	none
N/A	0.968	N/A	1	none
N/A	94.822	N/A	1	none
N/A	14.551	N/A	1	none
N/A	10.097	N/A	2	none
N/A	88.228	N/A	1	none
N/A	0.8549	N/A	2	none
N/A	11.128	N/A	1	none
N/A	10.041	N/A	1	none
N/A	28.273	N/A	1	none
N/A	0.9556	N/A	1	none
N/A	0.9513	N/A	1	none
N/A	0.9309	N/A	1	none
N/A	1.226	N/A	2	none
N/A	18.327	N/A	1	none
N/A	0.9954	N/A	1	none
N/A	11.362	N/A	1	none
N/A	10.269	N/A	3	none
N/A	0.9769	N/A	1	none
N/A	11.076	N/A	1	none
N/A	0.984	N/A	4	none
N/A	0.9717	N/A	1	none
N/A	10.024	N/A	1	none
N/A	0.9918	N/A	3	none
N/A	10.211	N/A	1	none
N/A	0.9767	N/A	1	none
N/A	14.751	N/A	4	none
N/A	10.255	N/A	10	none
N/A	10.732	N/A	2	none
N/A	18.638	N/A	1	none
N/A	13.488	N/A	1	none
N/A	10.036	N/A	1	none
N/A	0.9856	N/A	1	none
N/A	1.544	N/A	1	none
N/A	90.269	N/A	1	none
N/A	0.9887	N/A	2	none
N/A	11.512	N/A	2	none
N/A	0.9671	N/A	1	none
N/A	0.9785	N/A	4	none
N/A	9.04	N/A	1	none
N/A	0.9354	N/A	1	none
N/A	24.774	N/A	1	none
N/A	0.7995	N/A	7	none
N/A	10.016	N/A	1	none
N/A	11.146	N/A	2	none
N/A	23.937	N/A	1	none
N/A	0.9796	N/A	3	none
N/A	96.321	N/A	2	none
N/A	0.981	N/A	2	none
N/A	0.9831	N/A	4	none
N/A	88.946	N/A	1	none
N/A	31.745	N/A	1	none
N/A	87.541	N/A	2	none
N/A	11.243	N/A	1	none
N/A	23.808	N/A	1	none
N/A	0.7377	N/A	4	none
N/A	12.249	N/A	2	none
N/A	93.273	N/A	2	none
N/A	69.705	N/A	1	none
N/A	18.964	N/A	2	none
N/A	2.128	N/A	6	none
N/A	0.9964	N/A	1	none
N/A	0.9861	N/A	1	none
N/A	10.077	N/A	1	none
N/A	0.9835	N/A	2	none
N/A	300.142	N/A	1	none
N/A	10.107	N/A	4	none
N/A	14.334	N/A	2	none
N/A	0.7679	N/A	1	none
N/A	308.089	N/A	1	none
N/A	0.9908	N/A	1	none
N/A	89.961	N/A	1	none
N/A	0.956	N/A	1	none
N/A	77.001	N/A	1	none
N/A	70.034	N/A	1	none
N/A	1.082	N/A	2	none
N/A	38.618	N/A	1	none
N/A	16.926	N/A	1	none
N/A	0.9511	N/A	1	none
N/A	10.608	N/A	1	none
N/A	95.855	N/A	2	none
N/A	27.246	N/A	1	none
N/A	317.811	N/A	1	none
N/A	0.9747	N/A	2	none
N/A	279.111	N/A	1	none
N/A	0.7146	N/A	2	none
N/A	0.9615	N/A	1	none
N/A	258.916	N/A	2	none
N/A	0.8988	N/A	3	none
N/A	27.592	N/A	1	none
N/A	54.121	N/A	2	none
N/A	32.976	N/A	15	none
N/A	0.9666	N/A	3	none
N/A	0.8321	N/A	1	none
N/A	74.456	N/A	1	none
N/A	14.714	N/A	2	none
N/A	15.479	N/A	2	none
N/A	1.266	N/A	1	none
N/A	10.465	N/A	5	none
N/A	87.151	N/A	1	none
N/A	0.6816	N/A	1	none
N/A	279.812	N/A	1	none
N/A	10.192	N/A	1	none
N/A	0.7119	N/A	2	none
N/A	0.9194	N/A	1	none
N/A	334.039	N/A	1	none
N/A	96.907	N/A	1	none
N/A	0.6567	N/A	2	none
N/A	78.233	N/A	1	none
N/A	0.956	N/A	1	none
N/A	0.6627	N/A	1	none
N/A	0.9765	N/A	3	none
N/A	0.9796	N/A	1	none
N/A	0.8253	N/A	7	none
N/A	0.9747	N/A	2	none
N/A	10.637	N/A	2	none
N/A	0.6808	N/A	3	none
N/A	1.133	N/A	1	none
N/A	36.563	N/A	1	none
N/A	0.7074	N/A	8	none
N/A	10.012	N/A	3	none
N/A	93.483	N/A	2	none
N/A	0.7553	N/A	1	none
N/A	278.581	N/A	1	none
N/A	0.9877	N/A	4	none
N/A	305.263	N/A	1	none
N/A	0.6819	N/A	1	none
N/A	77.385	N/A	2	none
N/A	87.232	N/A	1	none
N/A	0.7403	N/A	6	none
N/A	11.976	N/A	1	none
N/A	0.9721	N/A	2	none
N/A	0.6906	N/A	5	none
N/A	12.108	N/A	1	none
N/A	0.9853	N/A	4	none
N/A	0.6968	N/A	4	none
N/A	64.073	N/A	38	none
N/A	0.9068	N/A	1	none
N/A	0.691	N/A	2	none
N/A	10.039	N/A	3	none
N/A	89.985	N/A	2	none
N/A	1.825	N/A	1	none
N/A	89.309	N/A	1	none
N/A	0.6669	N/A	1	none
N/A	0.9004	N/A	1	none
N/A	0.6961	N/A	3	none
N/A	0.6894	N/A	4	none
N/A	291.827	N/A	1	none
N/A	0.7053	N/A	3	none
N/A	81.537	N/A	1	none
N/A	0.6739	N/A	1	none
N/A	37.674	N/A	1	none
N/A	10.022	N/A	1	none
N/A	0.707	N/A	1	none
N/A	0.9647	N/A	1	none
N/A	23.734	N/A	3	none
N/A	0.9803	N/A	1	none
N/A	0.9777	N/A	2	none
N/A	81.011	N/A	1	none
N/A	10.255	N/A	1	none
N/A	10.181	N/A	3	none
N/A	287.559	N/A	1	none
N/A	10.004	N/A	2	none
N/A	308.786	N/A	1	none
N/A	30.304	N/A	1	none
N/A	19.413	N/A	2	none
N/A	0.9536	N/A	4	none
N/A	0.9527	N/A	4	none
N/A	0.9456	N/A	4	none
N/A	0.9563	N/A	1	none
N/A	0.9753	N/A	1	none
N/A	0.9421	N/A	2	none
N/A	87.526	N/A	2	none
N/A	10.015	N/A	1	none
N/A	0.9345	N/A	2	none
N/A	0.9282	N/A	2	none
N/A	11.164	N/A	4	none
N/A	0.9743	N/A	1	none
N/A	0.9913	N/A	1	none
N/A	13.372	N/A	1	none
N/A	163.888	N/A	2	none
N/A	12.565	N/A	4	none
N/A	18.258	N/A	2	none
N/A	0.6729	N/A	2	none
N/A	17.035	N/A	1	none
N/A	0.9656	N/A	1	none
N/A	73.714	N/A	1	none
N/A	49.769	N/A	4	none
N/A	0.9764	N/A	1	none
N/A	0.9745	N/A	1	none
N/A	0.9465	N/A	1	none
N/A	10.065	N/A	4	none
N/A	0.9586	N/A	1	none
N/A	10.757	N/A	2	none
N/A	10.739	N/A	1	none
N/A	89.219	N/A	1	none
N/A	24.817	N/A	1	none
N/A	10.295	N/A	6	none
N/A	8.936	N/A	1	none
N/A	0.9653	N/A	1	none
N/A	10.327	N/A	3	none
N/A	37.684	N/A	1	none
N/A	0.9732	N/A	4	none
N/A	29.246	N/A	1	none
N/A	10.852	N/A	1	none
N/A	98.193	N/A	1	none
N/A	0.9732	N/A	2	none
N/A	10.146	N/A	1	none
N/A	87.958	N/A	1	none
N/A	74.999	N/A	1	none
N/A	10.019	N/A	1	none
N/A	15.204	N/A	5	none
N/A	62.847	N/A	2	none
N/A	62.889	N/A	1	none
N/A	0.9974	N/A	4	none
N/A	0.7785	N/A	2	none
N/A	3.113	N/A	1	none
N/A	0.968	N/A	1	none
N/A	0.8033	N/A	2	none
N/A	13.955	N/A	1	none
N/A	0.9681	N/A	6	none
N/A	288.757	N/A	1	none
